"modelID","varName","value","temperature","climate","indoorUnittype","info"
"P5-9","title","PUZ-WM50VHA(-BS)","0","0","0","1"
"P5-9","application","2","0","0","0","1"
"P5-9","indoor","0","0","0","0","1"
"P5-9","outdoor","1","0","0","0","1"
"P5-9","coolingMode7c12c","0","0","0","0","1"
"P5-9","coolingMode18c23c","0","0","0","0","1"
"P5-9","colderClimate","0","0","0","0","1"
"P5-9","warmerClimate","1","0","0","0","1"
"P5-9","reversibility","1","0","0","0","1"
"P5-9","colderForHeating","0","0","0","0","1"
"P5-9","warmerForHeating","0","0","0","0","1"
"P5-9","en145112Certification","0","0","0","0","1"
"P5-9","heatSource","0","0","0","0","1"
"P5-9","additionalOutdoorAir","0","0","0","0","1"
"P5-9","additionalExhaustAir","0","0","0","0","1"
"P5-9","additionalIndoorAir","0","0","0","0","1"
"P5-9","additionalNonheatedSpaceAir","0","0","0","0","1"
"P5-9","powerSupply","1","0","0","0","1"
"P5-9","offPeakProduct","0","0","0","0","1"
"P5-9","EN14511_2_001","5.00","4","10","0","2"
"P5-9","EN14511_2_001","5.00","5","10","0","2"
"P5-9","EN14511_2_002","1.00","4","10","0","2"
"P5-9","EN14511_2_002","1.62","5","10","0","2"
"P5-9","EN14511_2_003","5.00","4","10","0","2"
"P5-9","EN14511_2_003","3.08","5","10","0","2"
"P5-9","EN14511_4_003","2","0","10","0","2"
"P5-9","EN14511_4_004","2","0","10","0","2"
"P5-9","EN14511_4_005","2","0","10","0","2"
"P5-9","EN14511_4_006","2","0","10","0","2"
"P5-9","EN12102_1_001","40","4","1","0","2"
"P5-9","EN12102_1_001","40","5","1","0","2"
"P5-9","EN12102_1_001","40","4","3","0","2"
"P5-9","EN12102_1_001","40","5","3","0","2"
"P5-9","EN12102_1_002","61","4","1","0","2"
"P5-9","EN12102_1_002","61","5","1","0","2"
"P5-9","EN12102_1_002","61","4","3","0","2"
"P5-9","EN12102_1_002","61","5","3","0","2"
"P5-9","EN14825_001","237","4","1","0","2"
"P5-9","EN14825_001","162","5","1","0","2"
"P5-9","EN14825_001","190","4","3","0","2"
"P5-9","EN14825_001","133","5","3","0","2"
"P5-9","EN14825_002","5.00","4","1","0","2"
"P5-9","EN14825_002","5.00","5","1","0","2"
"P5-9","EN14825_002","5.00","4","3","0","2"
"P5-9","EN14825_002","5.00","5","3","0","2"
"P5-9","EN14825_003","6.00","4","1","0","2"
"P5-9","EN14825_003","4.13","5","1","0","2"
"P5-9","EN14825_003","4.83","4","3","0","2"
"P5-9","EN14825_003","3.40","5","3","0","2"
"P5-9","EN14825_004","2","4","1","0","2"
"P5-9","EN14825_004","2","5","1","0","2"
"P5-9","EN14825_004","-7","4","3","0","2"
"P5-9","EN14825_004","-7","5","3","0","2"
"P5-9","EN14825_005","-20","4","1","0","2"
"P5-9","EN14825_005","-20","5","1","0","2"
"P5-9","EN14825_005","-20","4","3","0","2"
"P5-9","EN14825_005","-20","5","3","0","2"
"P5-9","EN14825_008","4.40","4","3","0","2"
"P5-9","EN14825_008","4.40","5","3","0","2"
"P5-9","EN14825_009","3.17","4","3","0","2"
"P5-9","EN14825_009","2.04","5","3","0","2"
"P5-9","EN14825_047","0.990","4","3","0","2"
"P5-9","EN14825_047","0.990","5","3","0","2"
"P5-9","EN14825_010","5.00","4","1","0","2"
"P5-9","EN14825_010","5.00","5","1","0","2"
"P5-9","EN14825_010","2.70","4","3","0","2"
"P5-9","EN14825_010","2.70","5","3","0","2"
"P5-9","EN14825_011","3.68","4","1","0","2"
"P5-9","EN14825_011","1.98","5","1","0","2"
"P5-9","EN14825_011","4.56","4","3","0","2"
"P5-9","EN14825_011","3.29","5","3","0","2"
"P5-9","EN14825_048","0.990","4","1","0","2"
"P5-9","EN14825_048","0.990","5","1","0","2"
"P5-9","EN14825_048","0.980","4","3","0","2"
"P5-9","EN14825_048","0.980","5","3","0","2"
"P5-9","EN14825_012","3.20","4","1","0","2"
"P5-9","EN14825_012","3.20","5","1","0","2"
"P5-9","EN14825_012","1.90","4","3","0","2"
"P5-9","EN14825_012","1.70","5","3","0","2"
"P5-9","EN14825_013","4.96","4","1","0","2"
"P5-9","EN14825_013","3.35","5","1","0","2"
"P5-9","EN14825_013","6.55","4","3","0","2"
"P5-9","EN14825_013","4.47","5","3","0","2"
"P5-9","EN14825_049","0.980","4","1","0","2"
"P5-9","EN14825_049","0.980","5","1","0","2"
"P5-9","EN14825_049","0.950","4","3","0","2"
"P5-9","EN14825_049","0.960","5","3","0","2"
"P5-9","EN14825_014","1.90","4","1","0","2"
"P5-9","EN14825_014","1.80","5","1","0","2"
"P5-9","EN14825_014","1.80","4","3","0","2"
"P5-9","EN14825_014","1.80","5","3","0","2"
"P5-9","EN14825_015","8.00","4","1","0","2"
"P5-9","EN14825_015","5.81","5","1","0","2"
"P5-9","EN14825_015","8.57","4","3","0","2"
"P5-9","EN14825_015","6.67","5","3","0","2"
"P5-9","EN14825_050","0.940","4","1","0","2"
"P5-9","EN14825_050","0.950","5","1","0","2"
"P5-9","EN14825_050","0.930","4","3","0","2"
"P5-9","EN14825_050","0.940","5","3","0","2"
"P5-9","EN14825_016","5.00","4","1","0","2"
"P5-9","EN14825_016","5.00","5","1","0","2"
"P5-9","EN14825_016","4.40","4","3","0","2"
"P5-9","EN14825_016","4.40","5","3","0","2"
"P5-9","EN14825_017","3.70","4","1","0","2"
"P5-9","EN14825_017","1.98","5","1","0","2"
"P5-9","EN14825_017","3.17","4","3","0","2"
"P5-9","EN14825_017","2.04","5","3","0","2"
"P5-9","EN14825_018","5.00","4","1","0","2"
"P5-9","EN14825_018","5.00","5","1","0","2"
"P5-9","EN14825_018","4.19","4","3","0","2"
"P5-9","EN14825_018","4.19","5","3","0","2"
"P5-9","EN14825_019","3.70","4","1","0","2"
"P5-9","EN14825_019","1.98","5","1","0","2"
"P5-9","EN14825_019","2.84","4","3","0","2"
"P5-9","EN14825_019","1.97","5","3","0","2"
"P5-9","EN14825_022","60","4","1","0","2"
"P5-9","EN14825_022","60","5","1","0","2"
"P5-9","EN14825_022","60","4","3","0","2"
"P5-9","EN14825_022","60","5","3","0","2"
"P5-9","EN14825_023","15","4","1","0","2"
"P5-9","EN14825_023","15","5","1","0","2"
"P5-9","EN14825_023","15","4","3","0","2"
"P5-9","EN14825_023","15","5","3","0","2"
"P5-9","EN14825_024","15","4","1","0","2"
"P5-9","EN14825_024","15","5","1","0","2"
"P5-9","EN14825_024","15","4","3","0","2"
"P5-9","EN14825_024","15","5","3","0","2"
"P5-9","EN14825_025","15","4","1","0","2"
"P5-9","EN14825_025","15","5","1","0","2"
"P5-9","EN14825_025","15","4","3","0","2"
"P5-9","EN14825_025","15","5","3","0","2"
"P5-9","EN14825_026","0","4","1","0","2"
"P5-9","EN14825_026","0","5","1","0","2"
"P5-9","EN14825_026","0","4","3","0","2"
"P5-9","EN14825_026","0","5","3","0","2"
"P5-9","EN14825_027","1","4","1","0","2"
"P5-9","EN14825_027","1","5","1","0","2"
"P5-9","EN14825_027","1","4","3","0","2"
"P5-9","EN14825_027","1","5","3","0","2"
"P5-9","EN14825_028","0.00","4","1","0","2"
"P5-9","EN14825_028","0.00","5","1","0","2"
"P5-9","EN14825_028","0.81","4","3","0","2"
"P5-9","EN14825_028","0.81","5","3","0","2"
"P5-9","EN14825_029","1112","4","1","0","2"
"P5-9","EN14825_029","1616","5","1","0","2"
"P5-9","EN14825_029","2139","4","3","0","2"
"P5-9","EN14825_029","3038","5","3","0","2"
"P5-9","EN16147_002","0","0","1","0","2"
"P5-9","EN16147_002","0","0","3","0","2"
"P5-9","EN16147_003","0.00","0","1","0","2"
"P5-9","EN16147_003","0.00","0","3","0","2"
"P5-9","EN16147_005","0.0","0","1","0","2"
"P5-9","EN16147_005","0.0","0","3","0","2"
"P5-9","EN16147_006","0.0","0","1","0","2"
"P5-9","EN16147_006","0.0","0","3","0","2"
"P5-9","EN16147_007","0","0","3","0","2"
"P5-9","EN16147_007","0","0","3","0","2"
"P5-2","title","PUZ-WM50VHA(-BS) + EHPT20X-*M*D","0","0","0","1"
"P5-2","application","4","0","0","0","1"
"P5-2","indoor","1","0","0","0","1"
"P5-2","outdoor","1","0","0","0","1"
"P5-2","coolingMode7c12c","0","0","0","0","1"
"P5-2","coolingMode18c23c","0","0","0","0","1"
"P5-2","colderClimate","0","0","0","0","1"
"P5-2","warmerClimate","1","0","0","0","1"
"P5-2","reversibility","0","0","0","0","1"
"P5-2","colderForHeating","0","0","0","0","1"
"P5-2","warmerForHeating","0","0","0","0","1"
"P5-2","en145112Certification","0","0","0","0","1"
"P5-2","heatSource","0","0","0","0","1"
"P5-2","additionalOutdoorAir","0","0","0","0","1"
"P5-2","additionalExhaustAir","0","0","0","0","1"
"P5-2","additionalIndoorAir","0","0","0","0","1"
"P5-2","additionalNonheatedSpaceAir","0","0","0","0","1"
"P5-2","powerSupply","1","0","0","0","1"
"P5-2","offPeakProduct","0","0","0","0","1"
"P5-2","EN14511_2_001","5.00","4","10","0","2"
"P5-2","EN14511_2_001","5.00","5","10","0","2"
"P5-2","EN14511_2_002","1.00","4","10","0","2"
"P5-2","EN14511_2_002","1.62","5","10","0","2"
"P5-2","EN14511_2_003","5.00","4","10","0","2"
"P5-2","EN14511_2_003","3.08","5","10","0","2"
"P5-2","EN14511_4_003","2","0","10","0","2"
"P5-2","EN14511_4_004","2","0","10","0","2"
"P5-2","EN14511_4_005","2","0","10","0","2"
"P5-2","EN14511_4_006","2","0","10","0","2"
"P5-2","EN12102_1_001","40","4","1","0","2"
"P5-2","EN12102_1_001","40","5","1","0","2"
"P5-2","EN12102_1_001","40","4","3","0","2"
"P5-2","EN12102_1_001","40","5","3","0","2"
"P5-2","EN12102_1_002","61","4","1","0","2"
"P5-2","EN12102_1_002","61","5","1","0","2"
"P5-2","EN12102_1_002","61","4","3","0","2"
"P5-2","EN12102_1_002","61","5","3","0","2"
"P5-2","EN14825_001","226","4","1","0","2"
"P5-2","EN14825_001","157","5","1","0","2"
"P5-2","EN14825_001","183","4","3","0","2"
"P5-2","EN14825_001","129","5","3","0","2"
"P5-2","EN14825_002","5.00","4","1","0","2"
"P5-2","EN14825_002","5.00","5","1","0","2"
"P5-2","EN14825_002","5.00","4","3","0","2"
"P5-2","EN14825_002","5.00","5","3","0","2"
"P5-2","EN14825_003","5.73","4","1","0","2"
"P5-2","EN14825_003","4.00","5","1","0","2"
"P5-2","EN14825_003","4.66","4","3","0","2"
"P5-2","EN14825_003","3.31","5","3","0","2"
"P5-2","EN14825_004","2","4","1","0","2"
"P5-2","EN14825_004","2","5","1","0","2"
"P5-2","EN14825_004","-7","4","3","0","2"
"P5-2","EN14825_004","-7","5","3","0","2"
"P5-2","EN14825_005","-20","4","1","0","2"
"P5-2","EN14825_005","-20","5","1","0","2"
"P5-2","EN14825_005","-20","4","3","0","2"
"P5-2","EN14825_005","-20","5","3","0","2"
"P5-2","EN14825_008","4.40","4","3","0","2"
"P5-2","EN14825_008","4.40","5","3","0","2"
"P5-2","EN14825_009","3.17","4","3","0","2"
"P5-2","EN14825_009","2.04","5","3","0","2"
"P5-2","EN14825_047","0.990","4","3","0","2"
"P5-2","EN14825_047","0.990","5","3","0","2"
"P5-2","EN14825_010","5.00","4","1","0","2"
"P5-2","EN14825_010","5.00","5","1","0","2"
"P5-2","EN14825_010","2.70","4","3","0","2"
"P5-2","EN14825_010","2.70","5","3","0","2"
"P5-2","EN14825_011","3.70","4","1","0","2"
"P5-2","EN14825_011","1.98","5","1","0","2"
"P5-2","EN14825_011","4.47","4","3","0","2"
"P5-2","EN14825_011","3.23","5","3","0","2"
"P5-2","EN14825_048","0.990","4","1","0","2"
"P5-2","EN14825_048","0.990","5","1","0","2"
"P5-2","EN14825_048","0.980","4","3","0","2"
"P5-2","EN14825_048","0.980","5","3","0","2"
"P5-2","EN14825_012","3.20","4","1","0","2"
"P5-2","EN14825_012","3.20","5","1","0","2"
"P5-2","EN14825_012","1.90","4","3","0","2"
"P5-2","EN14825_012","1.70","5","3","0","2"
"P5-2","EN14825_013","5.10","4","1","0","2"
"P5-2","EN14825_013","3.40","5","1","0","2"
"P5-2","EN14825_013","6.55","4","3","0","2"
"P5-2","EN14825_013","4.47","5","3","0","2"
"P5-2","EN14825_049","0.980","4","1","0","2"
"P5-2","EN14825_049","0.980","5","1","0","2"
"P5-2","EN14825_049","0.950","4","3","0","2"
"P5-2","EN14825_049","0.960","5","3","0","2"
"P5-2","EN14825_014","1.90","4","1","0","2"
"P5-2","EN14825_014","1.80","5","1","0","2"
"P5-2","EN14825_014","1.80","4","3","0","2"
"P5-2","EN14825_014","1.80","5","3","0","2"
"P5-2","EN14825_015","7.98","4","1","0","2"
"P5-2","EN14825_015","5.81","5","1","0","2"
"P5-2","EN14825_015","8.57","4","3","0","2"
"P5-2","EN14825_015","6.67","5","3","0","2"
"P5-2","EN14825_050","0.940","4","1","0","2"
"P5-2","EN14825_050","0.950","5","1","0","2"
"P5-2","EN14825_050","0.930","4","3","0","2"
"P5-2","EN14825_050","0.940","5","3","0","2"
"P5-2","EN14825_016","5.00","4","1","0","2"
"P5-2","EN14825_016","5.00","5","1","0","2"
"P5-2","EN14825_016","4.40","4","3","0","2"
"P5-2","EN14825_016","4.40","5","3","0","2"
"P5-2","EN14825_017","3.70","4","1","0","2"
"P5-2","EN14825_017","1.98","5","1","0","2"
"P5-2","EN14825_017","3.17","4","3","0","2"
"P5-2","EN14825_017","2.04","5","3","0","2"
"P5-2","EN14825_018","5.00","4","1","0","2"
"P5-2","EN14825_018","5.00","5","1","0","2"
"P5-2","EN14825_018","4.19","4","3","0","2"
"P5-2","EN14825_018","4.19","5","3","0","2"
"P5-2","EN14825_019","3.70","4","1","0","2"
"P5-2","EN14825_019","1.98","5","1","0","2"
"P5-2","EN14825_019","2.84","4","3","0","2"
"P5-2","EN14825_019","1.97","5","3","0","2"
"P5-2","EN14825_022","60","4","1","0","2"
"P5-2","EN14825_022","60","5","1","0","2"
"P5-2","EN14825_022","60","4","3","0","2"
"P5-2","EN14825_022","60","5","3","0","2"
"P5-2","EN14825_023","15","4","1","0","2"
"P5-2","EN14825_023","15","5","1","0","2"
"P5-2","EN14825_023","15","4","3","0","2"
"P5-2","EN14825_023","15","5","3","0","2"
"P5-2","EN14825_024","15","4","1","0","2"
"P5-2","EN14825_024","15","5","1","0","2"
"P5-2","EN14825_024","15","4","3","0","2"
"P5-2","EN14825_024","15","5","3","0","2"
"P5-2","EN14825_025","15","4","1","0","2"
"P5-2","EN14825_025","15","5","1","0","2"
"P5-2","EN14825_025","15","4","3","0","2"
"P5-2","EN14825_025","15","5","3","0","2"
"P5-2","EN14825_026","0","4","1","0","2"
"P5-2","EN14825_026","0","5","1","0","2"
"P5-2","EN14825_026","0","4","3","0","2"
"P5-2","EN14825_026","0","5","3","0","2"
"P5-2","EN14825_027","1","4","1","0","2"
"P5-2","EN14825_027","1","5","1","0","2"
"P5-2","EN14825_027","1","4","3","0","2"
"P5-2","EN14825_027","1","5","3","0","2"
"P5-2","EN14825_028","0.00","4","1","0","2"
"P5-2","EN14825_028","0.00","5","1","0","2"
"P5-2","EN14825_028","0.81","4","3","0","2"
"P5-2","EN14825_028","0.81","5","3","0","2"
"P5-2","EN14825_029","1166","4","1","0","2"
"P5-2","EN14825_029","1671","5","1","0","2"
"P5-2","EN14825_029","2216","4","3","0","2"
"P5-2","EN14825_029","3122","5","3","0","2"
"P5-2","EN16147_001","L","0","1","0","2"
"P5-2","EN16147_001","L","0","3","0","2"
"P5-2","EN16147_002","154","0","1","0","2"
"P5-2","EN16147_002","135","0","3","0","2"
"P5-2","EN16147_003","3.62","0","1","0","2"
"P5-2","EN16147_003","3.19","0","3","0","2"
"P5-2","EN16147_004","2:49","0","1","0","2"
"P5-2","EN16147_004","2:19","0","3","0","2"
"P5-2","EN16147_005","34.0","0","1","0","2"
"P5-2","EN16147_005","37.0","0","3","0","2"
"P5-2","EN16147_006","52.5","0","1","0","2"
"P5-2","EN16147_006","52.5","0","3","0","2"
"P5-2","EN16147_007","278","0","1","0","2"
"P5-2","EN16147_007","278","0","3","0","2"
"P5-1","title","PUZ-WM50VHA(-BS) + EHPT20X-M*D","0","0","0","1"
"P5-1","application","4","0","0","0","1"
"P5-1","indoor","1","0","0","0","1"
"P5-1","outdoor","1","0","0","0","1"
"P5-1","coolingMode7c12c","0","0","0","0","1"
"P5-1","coolingMode18c23c","0","0","0","0","1"
"P5-1","colderClimate","0","0","0","0","1"
"P5-1","warmerClimate","1","0","0","0","1"
"P5-1","reversibility","0","0","0","0","1"
"P5-1","colderForHeating","0","0","0","0","1"
"P5-1","warmerForHeating","0","0","0","0","1"
"P5-1","en145112Certification","0","0","0","0","1"
"P5-1","heatSource","0","0","0","0","1"
"P5-1","additionalOutdoorAir","0","0","0","0","1"
"P5-1","additionalExhaustAir","0","0","0","0","1"
"P5-1","additionalIndoorAir","0","0","0","0","1"
"P5-1","additionalNonheatedSpaceAir","0","0","0","0","1"
"P5-1","powerSupply","1","0","0","0","1"
"P5-1","offPeakProduct","0","0","0","0","1"
"P5-1","EN14511_2_001","5.00","4","10","0","2"
"P5-1","EN14511_2_001","5.00","5","10","0","2"
"P5-1","EN14511_2_002","1.00","4","10","0","2"
"P5-1","EN14511_2_002","1.62","5","10","0","2"
"P5-1","EN14511_2_003","5.00","4","10","0","2"
"P5-1","EN14511_2_003","3.08","5","10","0","2"
"P5-1","EN14511_4_003","2","0","10","0","2"
"P5-1","EN14511_4_004","2","0","10","0","2"
"P5-1","EN14511_4_005","2","0","10","0","2"
"P5-1","EN14511_4_006","2","0","10","0","2"
"P5-1","EN12102_1_001","40","4","1","0","2"
"P5-1","EN12102_1_001","40","5","1","0","2"
"P5-1","EN12102_1_001","40","4","3","0","2"
"P5-1","EN12102_1_001","40","5","3","0","2"
"P5-1","EN12102_1_002","61","4","1","0","2"
"P5-1","EN12102_1_002","61","5","1","0","2"
"P5-1","EN12102_1_002","61","4","3","0","2"
"P5-1","EN12102_1_002","61","5","3","0","2"
"P5-1","EN14825_001","226","4","1","0","2"
"P5-1","EN14825_001","157","5","1","0","2"
"P5-1","EN14825_001","183","4","3","0","2"
"P5-1","EN14825_001","129","5","3","0","2"
"P5-1","EN14825_002","5.00","4","1","0","2"
"P5-1","EN14825_002","5.00","5","1","0","2"
"P5-1","EN14825_002","5.00","4","3","0","2"
"P5-1","EN14825_002","5.00","5","3","0","2"
"P5-1","EN14825_003","5.73","4","1","0","2"
"P5-1","EN14825_003","4.00","5","1","0","2"
"P5-1","EN14825_003","4.66","4","3","0","2"
"P5-1","EN14825_003","3.31","5","3","0","2"
"P5-1","EN14825_004","2","4","1","0","2"
"P5-1","EN14825_004","2","5","1","0","2"
"P5-1","EN14825_004","-7","4","3","0","2"
"P5-1","EN14825_004","-7","5","3","0","2"
"P5-1","EN14825_005","-20","4","1","0","2"
"P5-1","EN14825_005","-20","5","1","0","2"
"P5-1","EN14825_005","-20","4","3","0","2"
"P5-1","EN14825_005","-20","5","3","0","2"
"P5-1","EN14825_008","4.40","4","3","0","2"
"P5-1","EN14825_008","4.40","5","3","0","2"
"P5-1","EN14825_009","3.17","4","3","0","2"
"P5-1","EN14825_009","2.04","5","3","0","2"
"P5-1","EN14825_047","0.990","4","3","0","2"
"P5-1","EN14825_047","0.990","5","3","0","2"
"P5-1","EN14825_010","5.00","4","1","0","2"
"P5-1","EN14825_010","5.00","5","1","0","2"
"P5-1","EN14825_010","2.70","4","3","0","2"
"P5-1","EN14825_010","2.70","5","3","0","2"
"P5-1","EN14825_011","3.70","4","1","0","2"
"P5-1","EN14825_011","1.98","5","1","0","2"
"P5-1","EN14825_011","4.47","4","3","0","2"
"P5-1","EN14825_011","3.23","5","3","0","2"
"P5-1","EN14825_048","0.990","4","1","0","2"
"P5-1","EN14825_048","0.990","5","1","0","2"
"P5-1","EN14825_048","0.980","4","3","0","2"
"P5-1","EN14825_048","0.980","5","3","0","2"
"P5-1","EN14825_012","3.20","4","1","0","2"
"P5-1","EN14825_012","3.20","5","1","0","2"
"P5-1","EN14825_012","1.90","4","3","0","2"
"P5-1","EN14825_012","1.70","5","3","0","2"
"P5-1","EN14825_013","5.10","4","1","0","2"
"P5-1","EN14825_013","3.40","5","1","0","2"
"P5-1","EN14825_013","6.55","4","3","0","2"
"P5-1","EN14825_013","4.47","5","3","0","2"
"P5-1","EN14825_049","0.980","4","1","0","2"
"P5-1","EN14825_049","0.980","5","1","0","2"
"P5-1","EN14825_049","0.950","4","3","0","2"
"P5-1","EN14825_049","0.960","5","3","0","2"
"P5-1","EN14825_014","1.90","4","1","0","2"
"P5-1","EN14825_014","1.80","5","1","0","2"
"P5-1","EN14825_014","1.80","4","3","0","2"
"P5-1","EN14825_014","1.80","5","3","0","2"
"P5-1","EN14825_015","7.98","4","1","0","2"
"P5-1","EN14825_015","5.81","5","1","0","2"
"P5-1","EN14825_015","8.57","4","3","0","2"
"P5-1","EN14825_015","6.67","5","3","0","2"
"P5-1","EN14825_050","0.940","4","1","0","2"
"P5-1","EN14825_050","0.950","5","1","0","2"
"P5-1","EN14825_050","0.930","4","3","0","2"
"P5-1","EN14825_050","0.940","5","3","0","2"
"P5-1","EN14825_016","5.00","4","1","0","2"
"P5-1","EN14825_016","5.00","5","1","0","2"
"P5-1","EN14825_016","4.40","4","3","0","2"
"P5-1","EN14825_016","4.40","5","3","0","2"
"P5-1","EN14825_017","3.70","4","1","0","2"
"P5-1","EN14825_017","1.98","5","1","0","2"
"P5-1","EN14825_017","3.17","4","3","0","2"
"P5-1","EN14825_017","2.04","5","3","0","2"
"P5-1","EN14825_018","5.00","4","1","0","2"
"P5-1","EN14825_018","5.00","5","1","0","2"
"P5-1","EN14825_018","4.19","4","3","0","2"
"P5-1","EN14825_018","4.19","5","3","0","2"
"P5-1","EN14825_019","3.70","4","1","0","2"
"P5-1","EN14825_019","1.98","5","1","0","2"
"P5-1","EN14825_019","2.84","4","3","0","2"
"P5-1","EN14825_019","1.97","5","3","0","2"
"P5-1","EN14825_022","60","4","1","0","2"
"P5-1","EN14825_022","60","5","1","0","2"
"P5-1","EN14825_022","60","4","3","0","2"
"P5-1","EN14825_022","60","5","3","0","2"
"P5-1","EN14825_023","15","4","1","0","2"
"P5-1","EN14825_023","15","5","1","0","2"
"P5-1","EN14825_023","15","4","3","0","2"
"P5-1","EN14825_023","15","5","3","0","2"
"P5-1","EN14825_024","15","4","1","0","2"
"P5-1","EN14825_024","15","5","1","0","2"
"P5-1","EN14825_024","15","4","3","0","2"
"P5-1","EN14825_024","15","5","3","0","2"
"P5-1","EN14825_025","15","4","1","0","2"
"P5-1","EN14825_025","15","5","1","0","2"
"P5-1","EN14825_025","15","4","3","0","2"
"P5-1","EN14825_025","15","5","3","0","2"
"P5-1","EN14825_026","0","4","1","0","2"
"P5-1","EN14825_026","0","5","1","0","2"
"P5-1","EN14825_026","0","4","3","0","2"
"P5-1","EN14825_026","0","5","3","0","2"
"P5-1","EN14825_027","1","4","1","0","2"
"P5-1","EN14825_027","1","5","1","0","2"
"P5-1","EN14825_027","1","4","3","0","2"
"P5-1","EN14825_027","1","5","3","0","2"
"P5-1","EN14825_028","0.00","4","1","0","2"
"P5-1","EN14825_028","0.00","5","1","0","2"
"P5-1","EN14825_028","0.81","4","3","0","2"
"P5-1","EN14825_028","0.81","5","3","0","2"
"P5-1","EN14825_029","1166","4","1","0","2"
"P5-1","EN14825_029","1671","5","1","0","2"
"P5-1","EN14825_029","2216","4","3","0","2"
"P5-1","EN14825_029","3122","5","3","0","2"
"P5-1","EN16147_001","L","0","1","0","2"
"P5-1","EN16147_001","L","0","3","0","2"
"P5-1","EN16147_002","154","0","1","0","2"
"P5-1","EN16147_002","135","0","3","0","2"
"P5-1","EN16147_003","3.62","0","1","0","2"
"P5-1","EN16147_003","3.19","0","3","0","2"
"P5-1","EN16147_004","2:49","0","1","0","2"
"P5-1","EN16147_004","2:19","0","3","0","2"
"P5-1","EN16147_005","34.0","0","1","0","2"
"P5-1","EN16147_005","37.0","0","3","0","2"
"P5-1","EN16147_006","52.5","0","1","0","2"
"P5-1","EN16147_006","52.5","0","3","0","2"
"P5-1","EN16147_007","278","0","1","0","2"
"P5-1","EN16147_007","278","0","3","0","2"
"P5-7","title","PUZ-WM50VHA(-BS) + EHPX-*M*D","0","0","0","1"
"P5-7","application","2","0","0","0","1"
"P5-7","indoor","1","0","0","0","1"
"P5-7","outdoor","1","0","0","0","1"
"P5-7","coolingMode7c12c","0","0","0","0","1"
"P5-7","coolingMode18c23c","0","0","0","0","1"
"P5-7","colderClimate","0","0","0","0","1"
"P5-7","warmerClimate","1","0","0","0","1"
"P5-7","reversibility","0","0","0","0","1"
"P5-7","colderForHeating","0","0","0","0","1"
"P5-7","warmerForHeating","0","0","0","0","1"
"P5-7","en145112Certification","0","0","0","0","1"
"P5-7","heatSource","0","0","0","0","1"
"P5-7","additionalOutdoorAir","0","0","0","0","1"
"P5-7","additionalExhaustAir","0","0","0","0","1"
"P5-7","additionalIndoorAir","0","0","0","0","1"
"P5-7","additionalNonheatedSpaceAir","0","0","0","0","1"
"P5-7","powerSupply","1","0","0","0","1"
"P5-7","offPeakProduct","0","0","0","0","1"
"P5-7","EN14511_2_001","5.00","4","10","0","2"
"P5-7","EN14511_2_001","5.00","5","10","0","2"
"P5-7","EN14511_2_002","1.00","4","10","0","2"
"P5-7","EN14511_2_002","1.62","5","10","0","2"
"P5-7","EN14511_2_003","5.00","4","10","0","2"
"P5-7","EN14511_2_003","3.08","5","10","0","2"
"P5-7","EN14511_4_003","2","0","10","0","2"
"P5-7","EN14511_4_004","2","0","10","0","2"
"P5-7","EN14511_4_005","2","0","10","0","2"
"P5-7","EN14511_4_006","2","0","10","0","2"
"P5-7","EN12102_1_001","40","4","1","0","2"
"P5-7","EN12102_1_001","40","5","1","0","2"
"P5-7","EN12102_1_001","40","4","3","0","2"
"P5-7","EN12102_1_001","40","5","3","0","2"
"P5-7","EN12102_1_002","61","4","1","0","2"
